CustomerID,Country,FirstPurchaseDate,LastPurchaseDate,Recency,Frequency,Monetary,AverageOrderValue,UnitsPurchased,TenureDays,Cluster,Segment,SegmentOrder
12346,United Kingdom,2011-01-18 10:01:00,2011-01-18 10:01:00,326,1,77183.6,77183.6,74215,0,0,Loyal Customers,2
12347,Iceland,2010-12-07 14:57:00,2011-12-07 15:52:00,3,7,4310.0,615.71,2458,365,2,Champions,1
12348,Finland,2010-12-16 19:09:00,2011-09-25 13:13:00,76,4,1797.24,449.31,2341,283,0,Loyal Customers,2
12349,Italy,2011-11-21 09:51:00,2011-11-21 09:51:00,19,1,1757.55,1757.55,631,0,1,Potential Loyalists,3
12350,Norway,2011-02-02 16:01:00,2011-02-02 16:01:00,311,1,334.4,334.4,197,0,3,At Risk,4
12352,Norway,2011-02-16 12:33:00,2011-11-03 14:37:00,37,8,2506.04,313.26,536,260,0,Loyal Customers,2
12353,Bahrain,2011-05-19 17:47:00,2011-05-19 17:47:00,205,1,89.0,89.0,20,0,3,At Risk,4
12354,Spain,2011-04-21 13:11:00,2011-04-21 13:11:00,233,1,1079.4,1079.4,530,0,3,At Risk,4
12355,Bahrain,2011-05-09 13:49:00,2011-05-09 13:49:00,215,1,459.4,459.4,240,0,3,At Risk,4
12356,Portugal,2011-01-18 09:50:00,2011-11-17 08:40:00,23,3,2811.43,937.14,1591,303,0,Loyal Customers,2
12357,Switzerland,2011-11-06 16:07:00,2011-11-06 16:07:00,34,1,6207.67,6207.67,2708,0,0,Loyal Customers,2
12358,Austria,2011-07-12 10:04:00,2011-12-08 10:26:00,2,2,1168.06,584.03,248,149,1,Potential Loyalists,3
12359,Cyprus,2011-01-12 12:43:00,2011-10-13 12:47:00,58,4,6310.03,1577.51,1609,274,0,Loyal Customers,2
12360,Austria,2011-05-23 09:43:00,2011-10-18 15:22:00,53,3,2662.06,887.35,1165,148,0,Loyal Customers,2
12361,Belgium,2011-02-25 13:51:00,2011-02-25 13:51:00,288,1,189.9,189.9,91,0,3,At Risk,4
12362,Belgium,2011-02-17 10:30:00,2011-12-06 15:40:00,4,10,5226.23,522.62,2229,292,2,Champions,1
12363,Unspecified,2011-04-11 13:29:00,2011-08-22 10:18:00,110,2,552.0,276.0,408,133,3,At Risk,4
12364,Belgium,2011-08-19 15:24:00,2011-12-02 10:22:00,8,4,1313.1,328.28,1506,105,0,Loyal Customers,2
12365,Cyprus,2011-02-21 13:51:00,2011-02-21 14:04:00,292,2,641.38,320.69,174,0,3,At Risk,4
12367,Denmark,2011-12-05 16:48:00,2011-12-05 16:48:00,5,1,168.9,168.9,173,0,1,Potential Loyalists,3
12370,Cyprus,2010-12-14 12:58:00,2011-10-19 14:51:00,52,4,3541.94,885.48,2352,309,0,Loyal Customers,2
12371,Switzerland,2011-10-11 10:43:00,2011-10-26 10:16:00,45,2,1887.96,943.98,591,15,0,Loyal Customers,2
12372,Denmark,2011-02-16 12:46:00,2011-09-29 12:12:00,72,3,1298.04,432.68,794,225,0,Loyal Customers,2
12373,Austria,2011-02-01 13:10:00,2011-02-01 13:10:00,312,1,364.6,364.6,197,0,3,At Risk,4
12374,Austria,2011-11-14 15:37:00,2011-11-14 15:37:00,26,1,742.93,742.93,342,0,1,Potential Loyalists,3
12375,Finland,2011-09-02 14:23:00,2011-11-29 10:36:00,11,2,457.5,228.75,178,88,1,Potential Loyalists,3
12377,Switzerland,2010-12-20 09:37:00,2011-01-28 15:45:00,316,2,1628.12,814.06,944,39,0,Loyal Customers,2
12378,Switzerland,2011-08-02 10:34:00,2011-08-02 10:34:00,130,1,4008.62,4008.62,2529,0,0,Loyal Customers,2
12379,Belgium,2011-06-22 16:32:00,2011-09-19 10:09:00,82,2,852.24,426.12,407,89,0,Loyal Customers,2
12380,Belgium,2011-06-07 09:49:00,2011-11-18 11:27:00,22,4,2724.81,681.2,1127,164,0,Loyal Customers,2
12381,Norway,2011-08-12 09:57:00,2011-12-05 12:44:00,5,5,1845.31,369.06,808,115,2,Champions,1
12383,Belgium,2010-12-22 14:28:00,2011-06-08 08:02:00,185,5,1850.56,370.11,1532,168,0,Loyal Customers,2
12384,Switzerland,2011-08-10 11:23:00,2011-11-11 08:39:00,29,2,585.27,292.64,126,93,1,Potential Loyalists,3
12386,Australia,2010-12-08 09:53:00,2011-01-06 12:37:00,338,2,401.9,200.95,354,29,3,At Risk,4
12388,Australia,2011-01-17 11:12:00,2011-11-24 12:30:00,16,6,2780.66,463.44,1462,311,2,Champions,1
12390,Belgium,2011-09-21 09:33:00,2011-09-21 09:33:00,80,1,549.84,549.84,353,0,3,At Risk,4
12391,Cyprus,2011-11-18 12:07:00,2011-11-18 12:07:00,22,1,439.66,439.66,293,0,1,Potential Loyalists,3
12393,Australia,2011-01-11 09:47:00,2011-09-28 15:41:00,73,4,1582.6,395.65,816,260,0,Loyal Customers,2
12394,Belgium,2011-05-06 14:01:00,2011-10-07 08:08:00,64,2,1272.48,636.24,819,154,0,Loyal Customers,2
12395,Belgium,2010-12-03 16:35:00,2011-11-20 15:21:00,20,12,3018.63,251.55,2118,352,2,Champions,1
12397,Belgium,2011-07-27 14:21:00,2011-11-04 09:52:00,36,2,2409.9,1204.95,1263,100,0,Loyal Customers,2
12398,Switzerland,2011-10-25 10:27:00,2011-10-25 10:27:00,46,1,1635.66,1635.66,1394,0,0,Loyal Customers,2
12399,Belgium,2011-03-23 09:42:00,2011-08-12 13:15:00,120,4,1108.65,277.16,1178,142,0,Loyal Customers,2
12401,Belgium,2011-02-09 13:50:00,2011-02-09 13:50:00,304,1,84.3,84.3,11,0,3,At Risk,4
12402,Belgium,2011-01-20 13:49:00,2011-01-20 13:49:00,324,1,225.6,225.6,94,0,3,At Risk,4
12403,Denmark,2011-10-21 10:51:00,2011-10-21 10:51:00,50,1,427.7,427.7,96,0,1,Potential Loyalists,3
12405,Finland,2011-07-14 08:52:00,2011-07-14 08:52:00,149,1,1710.39,1710.39,857,0,3,At Risk,4
12406,Denmark,2011-06-09 10:23:00,2011-11-17 19:22:00,23,2,3415.3,1707.65,1818,161,0,Loyal Customers,2
12407,Belgium,2011-03-20 13:21:00,2011-10-21 10:11:00,50,5,1708.12,341.62,1416,215,0,Loyal Customers,2
12408,Belgium,2011-03-24 14:46:00,2011-11-07 12:27:00,33,5,2888.55,577.71,1409,228,0,Loyal Customers,2
12409,Switzerland,2011-06-10 12:19:00,2011-09-22 10:38:00,79,3,11072.67,3690.89,5551,104,0,Loyal Customers,2
12410,Switzerland,2011-02-04 10:38:00,2011-02-04 10:39:00,309,2,693.33,346.66,211,0,3,At Risk,4
12412,Denmark,2011-06-23 13:51:00,2011-09-26 10:16:00,75,3,1226.88,408.96,829,95,0,Loyal Customers,2
12413,France,2011-01-06 16:12:00,2011-10-04 09:00:00,67,3,758.1,252.7,286,271,0,Loyal Customers,2
12414,Austria,2011-02-02 14:51:00,2011-05-06 14:51:00,218,3,562.41,187.47,300,93,3,At Risk,4
12415,Australia,2011-01-06 11:12:00,2011-11-15 14:22:00,25,21,124914.53,5948.31,77374,313,2,Champions,1
12417,Belgium,2010-12-17 11:51:00,2011-12-06 14:52:00,4,9,3649.1,405.46,1552,354,2,Champions,1
12418,Switzerland,2011-08-19 11:08:00,2011-08-19 11:08:00,113,1,668.58,668.58,407,0,3,At Risk,4
12420,Cyprus,2011-10-07 08:55:00,2011-10-07 08:55:00,64,1,600.39,600.39,345,0,3,At Risk,4
12421,Spain,2011-01-24 15:09:00,2011-11-24 09:07:00,16,4,807.04,201.76,484,304,0,Loyal Customers,2
12422,Australia,2011-01-19 09:13:00,2011-09-05 09:48:00,96,3,803.56,267.85,370,229,0,Loyal Customers,2
12423,Belgium,2010-12-21 10:54:00,2011-12-09 10:10:00,1,8,1859.31,232.41,1339,353,2,Champions,1
12424,Australia,2011-06-30 12:06:00,2011-06-30 12:06:00,163,2,1760.96,880.48,740,0,0,Loyal Customers,2
12425,Portugal,2011-09-22 17:31:00,2011-09-22 17:31:00,79,1,777.2,777.2,496,0,3,At Risk,4
12426,Germany,2011-05-29 12:26:00,2011-05-29 12:26:00,195,1,582.73,582.73,258,0,3,At Risk,4
12427,Germany,2010-12-03 10:44:00,2011-11-18 08:56:00,22,3,825.8,275.27,533,350,1,Potential Loyalists,3
12428,Finland,2011-03-01 09:33:00,2011-11-14 08:22:00,26,9,7956.46,884.05,3536,258,2,Champions,1
12429,Denmark,2010-12-09 12:05:00,2011-11-30 17:22:00,10,4,3750.4,937.6,1557,356,2,Champions,1
12430,Norway,2011-10-27 15:09:00,2011-10-27 15:09:00,44,1,256.4,256.4,117,0,1,Potential Loyalists,3
12431,Australia,2010-12-01 10:03:00,2011-11-04 11:55:00,36,15,6419.95,428.0,2896,338,2,Champions,1
12432,Norway,2011-06-20 13:27:00,2011-10-28 11:43:00,43,5,5059.32,1011.86,1801,130,0,Loyal Customers,2
12433,Norway,2010-12-01 13:24:00,2011-12-09 10:02:00,1,7,13375.87,1910.84,11071,373,2,Champions,1
12434,Australia,2011-03-24 13:05:00,2011-09-16 12:38:00,85,2,806.14,403.07,394,176,0,Loyal Customers,2
12435,Denmark,2011-03-17 07:40:00,2011-09-21 09:06:00,80,2,7829.89,3914.94,2055,188,0,Loyal Customers,2
12436,Norway,2011-09-01 12:09:00,2011-09-01 12:09:00,100,1,509.01,509.01,211,0,3,At Risk,4
12437,France,2011-01-12 14:13:00,2011-12-08 11:35:00,2,18,4951.41,275.08,2922,330,2,Champions,1
12438,Norway,2011-07-22 13:29:00,2011-11-25 13:28:00,15,2,2906.85,1453.42,1180,126,0,Loyal Customers,2
12441,France,2010-12-08 10:45:00,2010-12-08 10:45:00,367,1,173.55,173.55,121,0,3,At Risk,4
12442,Spain,2011-12-06 14:22:00,2011-12-06 14:22:00,4,1,172.06,172.06,182,0,1,Potential Loyalists,3
12444,Norway,2011-06-21 14:00:00,2011-11-18 13:23:00,22,5,5005.46,1001.09,1153,150,2,Champions,1
12445,Spain,2011-11-17 18:43:00,2011-11-17 18:43:00,23,1,133.4,133.4,62,0,1,Potential Loyalists,3
12446,RSA,2011-10-13 12:50:00,2011-10-13 12:50:00,58,1,1002.31,1002.31,351,0,1,Potential Loyalists,3
12447,Belgium,2011-04-10 13:25:00,2011-04-10 13:25:00,244,1,476.49,476.49,190,0,3,At Risk,4
12448,Spain,2011-10-26 13:46:00,2011-10-26 13:46:00,45,1,449.45,449.45,243,0,1,Potential Loyalists,3
12449,Belgium,2011-06-05 15:37:00,2011-11-17 13:46:00,23,4,4067.29,1016.82,1553,165,0,Loyal Customers,2
12450,Spain,2011-06-19 14:36:00,2011-07-06 14:41:00,157,2,197.88,98.94,128,17,3,At Risk,4
12451,Switzerland,2011-01-19 09:05:00,2011-11-29 08:40:00,11,5,9035.52,1807.1,6575,314,2,Champions,1
12452,Switzerland,2011-11-23 08:05:00,2011-11-23 10:28:00,17,2,430.57,215.28,185,0,1,Potential Loyalists,3
12453,Austria,2011-07-28 14:08:00,2011-07-28 14:08:00,135,1,707.09,707.09,473,0,3,At Risk,4
12454,Spain,2011-10-14 17:13:00,2011-10-14 17:13:00,57,1,3528.34,3528.34,1006,0,0,Loyal Customers,2
12455,Spain,2011-02-16 09:56:00,2011-09-27 15:31:00,74,6,2466.86,411.14,2089,223,0,Loyal Customers,2
12456,Switzerland,2011-03-30 09:12:00,2011-10-26 14:41:00,45,3,3181.04,1060.35,1633,210,0,Loyal Customers,2
12457,Switzerland,2011-04-14 18:57:00,2011-10-04 13:13:00,67,7,2363.23,337.6,843,173,0,Loyal Customers,2
12458,Switzerland,2011-02-28 10:55:00,2011-09-29 15:25:00,72,2,947.4,473.7,506,213,0,Loyal Customers,2
12461,Switzerland,2011-07-08 10:23:00,2011-09-06 16:57:00,95,2,826.88,413.44,287,60,0,Loyal Customers,2
12462,Spain,2011-02-09 14:44:00,2011-11-21 09:11:00,19,2,1189.59,594.79,536,285,1,Potential Loyalists,3
12463,Belgium,2011-04-12 12:47:00,2011-10-17 13:44:00,54,4,1344.78,336.2,776,188,0,Loyal Customers,2
12464,Belgium,2011-02-03 13:30:00,2011-11-29 13:33:00,11,8,1212.05,151.51,112,299,2,Champions,1
12465,Belgium,2011-06-23 13:37:00,2011-11-22 16:34:00,18,2,742.19,371.1,479,152,1,Potential Loyalists,3
12468,Germany,2011-01-27 13:29:00,2011-06-05 11:36:00,188,2,729.54,364.77,366,129,3,At Risk,4
12471,Germany,2010-12-10 09:35:00,2011-12-07 15:43:00,3,30,19788.65,659.62,8200,362,2,Champions,1
12472,Germany,2010-12-05 14:19:00,2011-11-07 14:01:00,33,7,6572.11,938.87,4148,337,2,Champions,1
12473,Germany,2011-06-01 10:15:00,2011-11-10 13:46:00,30,5,3928.05,785.61,2414,162,0,Loyal Customers,2
12474,Germany,2011-01-14 10:06:00,2011-11-22 14:39:00,18,18,7324.09,406.89,4833,312,2,Champions,1
12475,Germany,2011-10-17 10:10:00,2011-10-17 10:10:00,54,1,723.38,723.38,535,0,1,Potential Loyalists,3
12476,Germany,2010-12-13 14:39:00,2011-11-24 12:40:00,16,11,6816.42,619.67,2408,346,2,Champions,1
